"NAME","COMM","COMM_LABEL","YEAR","VAL","VALP","TON","TONP","TMILE","TMILEP","AVGMILE","VAL_S","VALP_S","TON_S","TONP_S","TMILE_S","TMILEP_S","AVGMILE_S","GEO_ID","GEO_ID_F"
"Geographic Area Name","Commodity code","Meaning of Commodity code","Year","Value ($ Millions)","Value (Percent of Total)","Tons (Thousands)","Tons (Percent of Total)","Ton-Miles (Millions)","Ton-Miles (Percent of Total)","Average Miles per Shipment (Number)","Coefficient of Variation for Value","Standard Error for Value (Percent of Total)","Coefficient of Variation for Tons","Standard Error for Tons (Percent of Total)","Coefficient of Variation for Ton-Miles","Standard Error for Ton-Miles (Percent of Total)","Coefficient of Variation for Average Miles per Shipment","id","Geo Footnote"
"United States","0000","All Commodities","2017","14366611","100.0","12478849","100.0","3130697","100.0","633","0.8","0.0","1.6","0.0","4.5","0.0","2.3","0100000US","null"
"United States","01","Animals and fish (live)","2017","9940","0.1","4693","Z","1405","Z","872","15.8","Z","20.8","Z","18.4","Z","15.7","0100000US","null"
"United States","02","Cereal grains (includes seed)","2017","109150","0.8","702960","5.6","187685","6.0","122","4.9","Z","5.8","0.4","11.3","0.7","9.3","0100000US","null"
"United States","03","Agricultural products (excludes animal feed, cereal grains, and forage products)","2017","226241","1.6","342394","2.7","154954","4.9","673","4.0","0.1","4.5","0.1","9.6","0.5","15.9","0100000US","null"
"United States","04","Animal feed, eggs, honey, and other products of animal origin","2017","146001","1.0","396937","3.2","98344","3.1","565","4.4","Z","6.3","0.2","4.2","0.2","15.8","0100000US","null"
"United States","05","Meat, poultry, fish, seafood, and their preparations","2017","362775","2.5","97205","0.8","49001","1.6","204","2.7","0.1","4.2","Z","4.7","0.1","16.0","0100000US","null"
"United States","06","Milled grain products and preparations, and bakery products","2017","185817","1.3","144763","1.2","58387","1.9","184","3.2","Z","8.4","0.1","7.7","0.1","12.0","0100000US","null"
"United States","07","Other prepared foodstuffs and fats and oils","2017","603137","4.2","545109","4.4","198517","6.3","368","2.7","0.1","3.5","0.2","4.7","0.4","7.6","0100000US","null"
"United States","08","Alcoholic beverages","2017","202579","1.4","126526","1.0","45463","1.5","158","2.5","Z","7.8","0.1","13.2","0.2","18.5","0100000US","null"
"United States","09","Tobacco products","2017","66860","0.5","3074","Z","577","Z","1209","17.1","0.1","20.8","Z","10.2","Z","16.5","0100000US","null"
"United States","10","Monumental or building stone","2017","5768","Z","13235","0.1","2395","0.1","227","15.6","Z","12.3","Z","17.5","Z","25.4","0100000US","null"
"United States","11","Natural sands","2017","11465","0.1","498482","4.0","86620","2.8","154","9.8","Z","7.4","0.2","16.1","0.5","17.8","0100000US","null"
"United States","12","Gravel and crushed stone (excludes dolomite and slate)","2017","18680","0.1","1528626","12.2","95770","3.1","33","3.9","Z","5.1","0.5","11.3","0.3","3.9","0100000US","null"
